#year,g,read10,tori,i10,h,i100
1969,0,0.0,0.0,0,0,0
1970,1,0.0,0.10000000149011612,0,1,0
1971,3,0.0,0.714116606162861,0,1,0
1972,4,0.0,1.2649102632422,1,2,0
1973,6,0.0,2.7475476956460625,3,3,0
1974,8,0.0,4.167771440232173,3,4,0
1975,9,0.0,6.028221415588632,4,4,0
1976,11,0.0,8.279604941839352,4,5,0
1977,13,0.0,10.368680003331974,5,5,0
1978,15,0.0,13.652275470551103,5,7,0
1979,16,0.0,16.18361291848123,6,7,0
1980,18,0.0,19.208122671116143,9,9,1
1981,19,0.0,22.10736237326637,10,10,1
1982,20,0.0,24.145971166493837,11,11,1
1983,22,0.0,27.491699287260417,13,12,1
1984,23,0.0,31.765424079319928,15,13,1
1985,25,0.0,35.855446676666816,19,14,1
1986,27,0.0,41.10469049467153,23,15,1
1987,29,0.0,45.867002669938145,27,16,1
1988,30,0.0,49.87977766963609,29,18,1
1989,33,0.0,54.74594674037205,33,20,1
1990,35,0.0,61.30040787308429,38,21,1
1991,36,0.0,65.23971629338382,40,22,2
1992,38,0.0,70.00386880580895,44,23,2
1993,40,0.0,74.57002734024928,47,24,2
1994,43,0.0,81.0486113520187,53,25,3
1995,45,0.0,87.86336914149399,57,26,4
1996,47,0.05,93.8871731787539,59,28,5
1997,50,0.65,100.72691019468934,66,29,6
1998,52,5.5166666666666675,107.44185901328092,73,31,7
1999,55,10.502777777777776,114.5190782672124,84,32,7
2000,58,12.397222222222222,121.67216300283474,93,35,7
2001,60,13.765,129.9575406721051,100,36,7
2002,64,24.977777777777774,138.9949711796335,108,40,10
2003,66,28.86186868686869,146.32006843530309,121,41,12
2004,69,31.951085646379767,153.890192624662,133,44,13
2005,73,33.59194841383483,161.5890900391264,142,47,14
2006,76,42.72505007411009,170.34722299359015,158,49,16
2007,79,58.926844733268865,179.2345586479293,171,50,17
2008,83,45.30129315955553,189.33508138257926,199,52,19
2009,89,58.30338104606282,197.86556375038208,224,56,24
2010,94,83.20470282800439,209.95568590051218,260,58,29
2011,101,138.85156362517677,221.01040789136204,301,63,32
2012,109,246.06934876792675,233.9807521050654,338,67,43
2013,118,279.2317542333459,248.72583416085922,400,74,43
2014,127,295.9403140823443,265.1090791942648,457,80,53
2015,136,309.7170632499293,281.2173901771757,511,87,69
2016,150,349.87010679911293,296.56870099175035,592,96,90
2017,172,344.5970553608931,312.1718467372141,668,106,115
2018,193,356.9405239834589,324.0504223323657,711,112,126
