#year,refereed,total
1969,2,2
1970,1,1
1971,2,2
1972,3,3
1973,0,0
1974,1,1
1975,2,2
1976,2,2
1977,6,6
1978,14,14
1979,6,6
1980,5,5
1981,5,5
1982,5,5
1983,12,12
1984,5,5
1985,4,4
1986,5,5
1987,5,5
1988,6,6
1989,6,6
1990,11,11
1991,8,8
1992,9,9
1993,5,5
1994,0,0
1995,16,16
1996,11,11
1997,13,13
1998,13,13
1999,14,15
2000,9,9
2001,10,11
2002,12,12
2003,9,9
2004,20,20
2005,21,21
2006,18,20
2007,27,28
2008,35,40
2009,46,48
2010,41,43
2011,49,50
2012,87,88
2013,57,59
2014,75,77
2015,59,61
2016,89,91
2017,63,67
2018,28,33
